filepath,class_name,label_idx
..\..\data\plantvillage_raw\Tomato___Bacterial_spot\a85b3db9-6b49-4ce8-91ce-97ce0abb9758___GCREC_Bact.Sp 3412.JPG,Tomato___Bacterial_spot,28
..\..\data\plantvillage_raw\Tomato___Tomato_Yellow_Leaf_Curl_Virus\2be8c906-36de-4290-9003-cc717511cab9___YLCV_GCREC 2334.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,35
..\..\data\plantvillage_raw\Peach___Bacterial_spot\3c4ee7e3-7b4f-43a0-98c4-dd3e35b02ef8___Rutg._Bact.S 1658.JPG,Peach___Bacterial_spot,16
..\..\data\plantvillage_raw\Grape___healthy\0cfdea92-260f-42b2-9db9-c31fee6ec567___Mt.N.V_HL 6119.JPG,Grape___healthy,14
..\..\data\plantvillage_raw\Tomato___Spider_mites Two-spotted_spider_mite\0f6a5f32-3d95-4ef1-bc01-ba36f2efb2b4___Com.G_SpM_FL 1661.JPG,Tomato___Spider_mites Two-spotted_spider_mite,33
..\..\data\plantvillage_raw\Strawberry___healthy\5e5147e3-ba21-4afa-a32b-bb3453c72944___RS_HL 4450.JPG,Strawberry___healthy,27
"..\..\data\plantvillage_raw\Pepper,_bell___healthy\d9078c6d-9a57-43d5-bd00-e2a7fd93f881___JR_HL 8738.JPG","Pepper,_bell___healthy",19
..\..\data\plantvillage_raw\Orange___Haunglongbing_(Citrus_greening)\821d1ea9-84bf-434c-8ab0-d63968b5a167___UF.Citrus_HLB_Lab 0571.JPG,Orange___Haunglongbing_(Citrus_greening),15
"..\..\data\plantvillage_raw\Pepper,_bell___healthy\226a6fd3-6624-4360-8637-3755f4acd3fb___JR_HL 5898.JPG","Pepper,_bell___healthy",19
..\..\data\plantvillage_raw\Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot\dda4a05e-e5cd-471b-9c6b-38f589d863dd___RS_GLSp 4491 copy.jpg,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,7
