filepath,label_idx,class_name
D:\IRP\leaf-jepa\data\plantvillage_raw\Squash___Powdery_mildew\e3edd4c2-47eb-46bc-84a9-b99dd2398ef8___MD_Powd.M 0300.JPG,25,Squash___Powdery_mildew
D:\IRP\leaf-jepa\data\plantvillage_raw\Tomato___Tomato_Yellow_Leaf_Curl_Virus\8fed2a4a-129a-441a-88a6-8c4cf3666959___YLCV_GCREC 1960.JPG,35,Tomato___Tomato_Yellow_Leaf_Curl_Virus
"D:\IRP\leaf-jepa\data\plantvillage_raw\Pepper,_bell___healthy\5761a17a-0629-48cc-aa66-ffff745b5adb___JR_HL 8191.JPG",19,"Pepper,_bell___healthy"
D:\IRP\leaf-jepa\data\plantvillage_raw\Grape___Esca_(Black_Measles)\fc7a8460-2637-47fe-9691-1db817f39da9___FAM_B.Msls 1016.JPG,12,Grape___Esca_(Black_Measles)
D:\IRP\leaf-jepa\data\plantvillage_raw\Grape___Esca_(Black_Measles)\fd008387-18f9-4731-a60f-38fc8790d58c___FAM_B.Msls 4208.JPG,12,Grape___Esca_(Black_Measles)
D:\IRP\leaf-jepa\data\plantvillage_raw\Apple___healthy\0c056dd8-2040-48cf-a9a8-53d8ae5662d0___RS_HL 7987.JPG,3,Apple___healthy
D:\IRP\leaf-jepa\data\plantvillage_raw\Tomato___Spider_mites Two-spotted_spider_mite\fd3b6292-6d21-4f4a-969f-9ed064e2c451___Com.G_SpM_FL 1415.JPG,33,Tomato___Spider_mites Two-spotted_spider_mite
D:\IRP\leaf-jepa\data\plantvillage_raw\Corn_(maize)___Common_rust_\RS_Rust 1663.JPG,8,Corn_(maize)___Common_rust_
D:\IRP\leaf-jepa\data\plantvillage_raw\Tomato___Tomato_Yellow_Leaf_Curl_Virus\8831754b-2520-428f-90ac-30821826391f___UF.GRC_YLCV_Lab 09460.JPG,35,Tomato___Tomato_Yellow_Leaf_Curl_Virus
D:\IRP\leaf-jepa\data\plantvillage_raw\Tomato___Tomato_Yellow_Leaf_Curl_Virus\119b516b-277b-47ae-bf89-5a61a54f7cd3___YLCV_GCREC 1969.JPG,35,Tomato___Tomato_Yellow_Leaf_Curl_Virus
D:\IRP\leaf-jepa\data\plantvillage_raw\Orange___Haunglongbing_(Citrus_greening)\44365704-e4ab-43e2-8119-e7668285ceb5___CREC_HLB 5660.JPG,15,Orange___Haunglongbing_(Citrus_greening)
D:\IRP\leaf-jepa\data\plantvillage_raw\Orange___Haunglongbing_(Citrus_greening)\ef16702c-18e3-4df5-af00-33a8e09c750e___UF.Citrus_HLB_Lab 1059.JPG,15,Orange___Haunglongbing_(Citrus_greening)
D:\IRP\leaf-jepa\data\plantvillage_raw\Tomato___Bacterial_spot\b8f38ecf-ef8d-47b5-90a3-e937a300a931___GCREC_Bact.Sp 5770.JPG,28,Tomato___Bacterial_spot
D:\IRP\leaf-jepa\data\plantvillage_raw\Tomato___Tomato_Yellow_Leaf_Curl_Virus\035aede3-e458-462b-b69e-96ed52acd6ee___YLCV_NREC 2160.JPG,35,Tomato___Tomato_Yellow_Leaf_Curl_Virus
D:\IRP\leaf-jepa\data\plantvillage_raw\Peach___Bacterial_spot\cd56164a-0b26-4286-83b0-5dfd2a96c43e___Rut._Bact.S 1236.JPG,16,Peach___Bacterial_spot
D:\IRP\leaf-jepa\data\plantvillage_raw\Soybean___healthy\26a43a0d-7331-4146-b4d2-8a46bb3624e9___RS_HL 7293.JPG,24,Soybean___healthy
D:\IRP\leaf-jepa\data\plantvillage_raw\Soybean___healthy\7d618414-081c-46be-960b-b1c19c68a4c3___RS_HL 5743 1.JPG,24,Soybean___healthy
D:\IRP\leaf-jepa\data\plantvillage_raw\Tomato___Tomato_Yellow_Leaf_Curl_Virus\f5a4c551-4500-49c5-904d-6ed08dd43cc0___UF.GRC_YLCV_Lab 03140.JPG,35,Tomato___Tomato_Yellow_Leaf_Curl_Virus
D:\IRP\leaf-jepa\data\plantvillage_raw\Soybean___healthy\b9718434-1c01-4624-8c23-3306cd0d5758___RS_HL 6357.JPG,24,Soybean___healthy
D:\IRP\leaf-jepa\data\plantvillage_raw\Corn_(maize)___Northern_Leaf_Blight\7cb45f15-0315-4cb4-88fa-c0bcef1a5a73___RS_NLB 0777.JPG,9,Corn_(maize)___Northern_Leaf_Blight
D:\IRP\leaf-jepa\data\plantvillage_raw\Corn_(maize)___Northern_Leaf_Blight\47eca8a9-befb-4c5e-b2da-991655be867b___RS_NLB 3838.JPG,9,Corn_(maize)___Northern_Leaf_Blight
D:\IRP\leaf-jepa\data\plantvillage_raw\Apple___healthy\298c8daf-43cc-4f65-b2db-65623425e5f8___RS_HL 6103.JPG,3,Apple___healthy
D:\IRP\leaf-jepa\data\plantvillage_raw\Strawberry___healthy\c9c97696-27f4-4f57-939f-b537ece8e668___RS_HL 4562.JPG,27,Strawberry___healthy
D:\IRP\leaf-jepa\data\plantvillage_raw\Potato___Late_blight\37c1e3d4-e54b-431a-b370-2a506b6026a2___RS_LB 4461.JPG,21,Potato___Late_blight
