filepath,label_idx,class_name
D:\IRP\leaf-jepa\data\plantvillage_raw\Apple___Cedar_apple_rust\5d4e82f2-d720-45fa-b913-13773583ee0f___FREC_C.Rust 4181.JPG,2,Apple___Cedar_apple_rust
D:\IRP\leaf-jepa\data\plantvillage_raw\Apple___Cedar_apple_rust\3c412dc8-dbe2-43db-92ba-28ce72f835f6___FREC_C.Rust 9930.JPG,2,Apple___Cedar_apple_rust
D:\IRP\leaf-jepa\data\plantvillage_raw\Apple___Cedar_apple_rust\1d4dee76-8af5-4bce-ba44-ef87ffd664de___FREC_C.Rust 3628.JPG,2,Apple___Cedar_apple_rust
D:\IRP\leaf-jepa\data\plantvillage_raw\Apple___Cedar_apple_rust\3590e70d-8ab1-453d-ae81-0f77bdda3f60___FREC_C.Rust 3824.JPG,2,Apple___Cedar_apple_rust
D:\IRP\leaf-jepa\data\plantvillage_raw\Apple___Cedar_apple_rust\f90bff66-b339-4a6f-acf4-85ed13aebff8___FREC_C.Rust 9843.JPG,2,Apple___Cedar_apple_rust
D:\IRP\leaf-jepa\data\plantvillage_raw\Apple___Cedar_apple_rust\a9c36955-73f5-43d5-9e1e-03672ed95b38___FREC_C.Rust 3893.JPG,2,Apple___Cedar_apple_rust
D:\IRP\leaf-jepa\data\plantvillage_raw\Apple___Cedar_apple_rust\4d7f4b74-59f6-431e-afa3-6fbbb9ac90ea___FREC_C.Rust 0145.JPG,2,Apple___Cedar_apple_rust
D:\IRP\leaf-jepa\data\plantvillage_raw\Apple___Cedar_apple_rust\9b3023a6-f35a-46b4-be98-022eb2ac42e4___FREC_C.Rust 9801.JPG,2,Apple___Cedar_apple_rust
D:\IRP\leaf-jepa\data\plantvillage_raw\Apple___Cedar_apple_rust\affae282-693e-4078-b037-de7037ecdcdc___FREC_C.Rust 9909.JPG,2,Apple___Cedar_apple_rust
D:\IRP\leaf-jepa\data\plantvillage_raw\Apple___Cedar_apple_rust\d79cfdd6-fa8a-4a96-aa90-3c347bb9c800___FREC_C.Rust 4125.JPG,2,Apple___Cedar_apple_rust
D:\IRP\leaf-jepa\data\plantvillage_raw\Apple___Cedar_apple_rust\4134586e-a00a-4c53-8f8d-c275ef0d5f5f___FREC_C.Rust 3676.JPG,2,Apple___Cedar_apple_rust
D:\IRP\leaf-jepa\data\plantvillage_raw\Apple___Cedar_apple_rust\d6485527-aab0-463c-b895-64d7612f45f1___FREC_C.Rust 0144.JPG,2,Apple___Cedar_apple_rust
D:\IRP\leaf-jepa\data\plantvillage_raw\Apple___Cedar_apple_rust\5367e167-14f3-4d65-bd93-4c4b693e0bc7___FREC_C.Rust 4109.JPG,2,Apple___Cedar_apple_rust
D:\IRP\leaf-jepa\data\plantvillage_raw\Apple___Cedar_apple_rust\4fd1cebf-96dd-4786-b1df-021dac153ca7___FREC_C.Rust 9953.JPG,2,Apple___Cedar_apple_rust
D:\IRP\leaf-jepa\data\plantvillage_raw\Apple___Cedar_apple_rust\79e57aaf-f825-4818-9594-621327134e0b___FREC_C.Rust 4219.JPG,2,Apple___Cedar_apple_rust
D:\IRP\leaf-jepa\data\plantvillage_raw\Apple___Cedar_apple_rust\d9db24c6-22b7-4786-8cb9-a1a805fd9fc5___FREC_C.Rust 3803.JPG,2,Apple___Cedar_apple_rust
D:\IRP\leaf-jepa\data\plantvillage_raw\Apple___Cedar_apple_rust\fec27618-f75c-4a6e-b2e7-d290fcb5b9bd___FREC_C.Rust 3550.JPG,2,Apple___Cedar_apple_rust
D:\IRP\leaf-jepa\data\plantvillage_raw\Apple___Cedar_apple_rust\90a124ff-56a1-46be-bac4-0bd424599cbc___FREC_C.Rust 4300.JPG,2,Apple___Cedar_apple_rust
D:\IRP\leaf-jepa\data\plantvillage_raw\Apple___Cedar_apple_rust\ea119d19-1b3a-4767-af1d-e8b148a3bb8d___FREC_C.Rust 3579.JPG,2,Apple___Cedar_apple_rust
D:\IRP\leaf-jepa\data\plantvillage_raw\Apple___Cedar_apple_rust\763123be-8a12-4d7a-8fa5-deff863b70f9___FREC_C.Rust 3691.JPG,2,Apple___Cedar_apple_rust
D:\IRP\leaf-jepa\data\plantvillage_raw\Raspberry___healthy\6859f761-111e-40d6-aaf2-31fb0a0f17f2___Mary_HL 6343.JPG,23,Raspberry___healthy
D:\IRP\leaf-jepa\data\plantvillage_raw\Raspberry___healthy\8e5806cd-b3f0-4737-8be0-9b7726d8b33c___Mary_HL 9165.JPG,23,Raspberry___healthy
D:\IRP\leaf-jepa\data\plantvillage_raw\Raspberry___healthy\07ae07d1-118d-48a9-ad13-ff5856b6ad25___Mary_HL 6393.JPG,23,Raspberry___healthy
D:\IRP\leaf-jepa\data\plantvillage_raw\Raspberry___healthy\74a39783-3c14-4dd3-88b4-d66dbd127787___Mary_HL 6239.JPG,23,Raspberry___healthy
